price: maint-cost: doors: persons: trunk-size: safety: acceptable (1 to 4) from https://archive.ics.uci.edu/ml/datasets/Car+Evaluation
vhigh, vhigh, 2, 2, small, low, 1
vhigh, high, 3, more, big, med, 1
vhigh, high, 3, more, big, high, 1
vhigh, high, 4, 2, small, low, 1
vhigh, high, 4, 2, small, med, 1
vhigh, high, 4, 2, small, high, 1
vhigh, high, 4, 2, med, low, 1
vhigh, high, 4, 2, med, med, 1
vhigh, high, 4, 2, med, high, 1
vhigh, high, 4, 2, big, low, 1
vhigh, high, 4, 2, big, med, 1
vhigh, high, 4, 2, big, high, 1
vhigh, high, 4, 4, small, low, 1
vhigh, high, 4, 4, small, med, 1
vhigh, high, 4, 4, small, high, 1
vhigh, high, 4, 4, med, low, 1
vhigh, high, 4, 4, med, med, 1
vhigh, high, 4, 4, med, high, 1
vhigh, high, 4, 4, big, low, 1
vhigh, high, 4, 4, big, med, 1
vhigh, high, 4, 4, big, high, 1
vhigh, high, 4, more, small, low, 1
vhigh, high, 4, more, small, med, 1
vhigh, high, 4, more, small, high, 1
vhigh, high, 4, more, med, low, 1
vhigh, high, 4, more, med, med, 1
vhigh, high, 4, more, med, high, 1
vhigh, high, 4, more, big, low, 1
vhigh, high, 4, more, big, med, 1
vhigh, high, 4, more, big, high, 1
vhigh, high, 5, 2, small, low, 1
vhigh, high, 5, 2, small, med, 1
vhigh, high, 5, 2, small, high, 1
vhigh, high, 5, 2, med, low, 1
vhigh, high, 5, 2, med, med, 1
vhigh, high, 5, 2, med, high, 1
vhigh, high, 5, 2, big, low, 1
vhigh, high, 5, 2, big, med, 1
vhigh, high, 5, 2, big, high, 1
vhigh, high, 5, 4, small, low, 1
vhigh, high, 5, 4, small, med, 1
vhigh, high, 5, 4, small, high, 1
vhigh, high, 5, 4, med, low, 1
vhigh, high, 5, 4, med, med, 1
vhigh, high, 5, 4, med, high, 1
vhigh, high, 5, 4, big, low, 1
vhigh, high, 5, 4, big, med, 1
vhigh, high, 5, 4, big, high, 1
vhigh, high, 5, more, small, low, 1
vhigh, high, 5, more, small, med, 1
vhigh, high, 5, more, small, high, 1
vhigh, high, 5, more, med, low, 1
vhigh, high, 5, more, med, med, 1
vhigh, high, 5, more, med, high, 1
vhigh, high, 5, more, big, low, 1
vhigh, high, 5, more, big, med, 1
vhigh, high, 5, more, big, high, 1
vhigh, med, 2, 2, small, low, 1
vhigh, med, 2, 2, small, med, 1
vhigh, med, 2, 2, small, high, 1
vhigh, med, 2, 2, med, low, 1
vhigh, med, 2, 2, med, med, 1
vhigh, med, 2, 2, med, high, 1
vhigh, med, 2, 2, big, low, 1
vhigh, med, 2, 2, big, med, 1
vhigh, med, 2, 2, big, high, 1
vhigh, med, 2, 4, small, low, 1
vhigh, med, 2, 4, small, med, 1
vhigh, med, 2, 4, small, high, 2
vhigh, med, 2, 4, med, low, 1
vhigh, med, 2, 4, med, med, 1
vhigh, med, 2, 4, med, high, 2
vhigh, med, 2, 4, big, low, 1
vhigh, med, 2, 4, big, med, 2
vhigh, med, 2, 4, big, high, 2
vhigh, med, 2, more, small, low, 1
vhigh, med, 2, more, small, med, 1
vhigh, med, 2, more, small, high, 1
vhigh, med, 2, more, med, low, 1
vhigh, med, 2, more, med, med, 1
vhigh, med, 2, more, med, high, 2
vhigh, med, 2, more, big, low, 1
vhigh, med, 2, more, big, med, 2
vhigh, med, 2, more, big, high, 2
vhigh, med, 3, 2, small, low, 1
vhigh, med, 3, 2, small, med, 1
vhigh, med, 3, 2, small, high, 1
vhigh, med, 3, 2, med, low, 1
vhigh, med, 3, 2, med, med, 1
vhigh, med, 3, 2, med, high, 1
vhigh, med, 3, 2, big, low, 1
vhigh, med, 3, 2, big, med, 1
vhigh, med, 3, 2, big, high, 1
vhigh, med, 3, 4, small, low, 1
vhigh, med, 3, 4, small, med, 1
vhigh, med, 3, 4, small, high, 2
vhigh, med, 3, 4, med, low, 1
vhigh, med, 3, 4, med, med, 1
vhigh, med, 3, 4, med, high, 2
vhigh, med, 3, 4, big, low, 1
vhigh, med, 3, 4, big, med, 2
vhigh, med, 3, 4, big, high, 2
vhigh, med, 3, more, small, low, 1
vhigh, med, 3, more, small, med, 1
vhigh, med, 3, more, small, high, 2
vhigh, med, 3, more, med, low, 1
vhigh, med, 3, more, med, med, 2
vhigh, med, 3, more, med, high, 2
vhigh, med, 3, more, big, low, 1
vhigh, med, 3, more, big, med, 2
vhigh, med, 3, more, big, high, 2
vhigh, med, 4, 2, small, low, 1
vhigh, med, 4, 2, small, med, 1
vhigh, med, 4, 2, small, high, 1
vhigh, med, 4, 2, med, low, 1
vhigh, med, 4, 2, med, med, 1
vhigh, med, 4, 2, med, high, 1
vhigh, med, 4, 2, big, low, 1
vhigh, med, 4, 2, big, med, 1
vhigh, med, 4, 2, big, high, 1
vhigh, med, 4, 4, small, low, 1
vhigh, med, 4, 4, small, med, 1
vhigh, med, 4, 4, small, high, 2
vhigh, med, 4, 4, med, low, 1
vhigh, med, 4, 4, med, med, 2
vhigh, med, 4, 4, med, high, 2
vhigh, med, 4, 4, big, low, 1
vhigh, med, 4, 4, big, med, 2
vhigh, med, 4, 4, big, high, 2
vhigh, med, 4, more, small, low, 1
vhigh, med, 4, more, small, med, 1
vhigh, med, 4, more, small, high, 2
vhigh, med, 4, more, med, low, 1
vhigh, med, 4, more, med, med, 2
vhigh, med, 4, more, med, high, 2
vhigh, med, 4, more, big, low, 1
vhigh, med, 4, more, big, med, 2
vhigh, med, 4, more, big, high, 2
vhigh, med, 5, 2, small, low, 1
vhigh, med, 5, 2, small, med, 1
vhigh, med, 5, 2, small, high, 1
vhigh, med, 5, 2, med, low, 1
vhigh, med, 5, 2, med, med, 1
vhigh, med, 5, 2, med, high, 1
vhigh, med, 5, 2, big, low, 1
vhigh, med, 5, 2, big, med, 1
vhigh, med, 5, 2, big, high, 1
vhigh, med, 5, 4, small, low, 1
vhigh, med, 5, 4, small, med, 1
vhigh, med, 5, 4, small, high, 2
vhigh, med, 5, 4, med, low, 1
vhigh, med, 5, 4, med, med, 2
vhigh, med, 5, 4, med, high, 2
vhigh, med, 5, 4, big, low, 1
vhigh, med, 5, 4, big, med, 2
vhigh, med, 5, 4, big, high, 2
vhigh, med, 5, more, small, low, 1
vhigh, med, 5, more, small, med, 1
vhigh, med, 5, more, small, high, 2
vhigh, med, 5, more, med, low, 1
vhigh, med, 5, more, med, med, 2
vhigh, med, 5, more, med, high, 2
vhigh, med, 5, more, big, low, 1
vhigh, med, 5, more, big, med, 2
vhigh, med, 5, more, big, high, 2
vhigh, low, 2, 2, small, low, 1
vhigh, low, 2, 2, small, med, 1
vhigh, low, 2, 2, small, high, 1
vhigh, low, 2, 2, med, low, 1
vhigh, low, 2, 2, med, med, 1
vhigh, low, 2, 2, med, high, 1
vhigh, low, 2, 2, big, low, 1
vhigh, low, 2, 2, big, med, 1
vhigh, low, 2, 2, big, high, 1
vhigh, low, 2, 4, small, low, 1
vhigh, low, 2, 4, small, med, 1
vhigh, low, 2, 4, small, high, 2
vhigh, low, 2, 4, med, low, 1
vhigh, low, 2, 4, med, med, 1
vhigh, low, 2, 4, med, high, 2
vhigh, low, 2, 4, big, low, 1
vhigh, low, 2, 4, big, med, 2
vhigh, low, 2, 4, big, high, 2
vhigh, low, 2, more, small, low, 1
vhigh, low, 2, more, small, med, 1
vhigh, low, 2, more, small, high, 1
vhigh, low, 2, more, med, low, 1
vhigh, low, 2, more, med, med, 1
vhigh, low, 2, more, med, high, 2
vhigh, low, 2, more, big, low, 1
vhigh, low, 2, more, big, med, 2
vhigh, low, 2, more, big, high, 2
vhigh, low, 3, 2, small, low, 1
vhigh, low, 3, 2, small, med, 1
vhigh, low, 3, 2, small, high, 1
vhigh, low, 3, 2, med, low, 1
vhigh, low, 3, 2, med, med, 1
vhigh, low, 3, 2, med, high, 1
vhigh, low, 3, 2, big, low, 1
vhigh, low, 3, 2, big, med, 1
vhigh, low, 3, 2, big, high, 1
vhigh, low, 3, 4, small, low, 1
vhigh, low, 3, 4, small, med, 1
vhigh, low, 3, 4, small, high, 2
vhigh, low, 3, 4, med, low, 1
vhigh, low, 3, 4, med, med, 1
vhigh, low, 3, 4, med, high, 2
vhigh, low, 3, 4, big, low, 1
vhigh, low, 3, 4, big, med, 2
vhigh, low, 3, 4, big, high, 2
vhigh, low, 3, more, small, low, 1
vhigh, low, 3, more, small, med, 1
vhigh, low, 3, more, small, high, 2
vhigh, low, 3, more, med, low, 1
vhigh, low, 3, more, med, med, 2
vhigh, low, 3, more, med, high, 2
vhigh, low, 3, more, big, low, 1
vhigh, low, 3, more, big, med, 2
vhigh, low, 3, more, big, high, 2
vhigh, low, 4, 2, small, low, 1
vhigh, low, 4, 2, small, med, 1
vhigh, low, 4, 2, small, high, 1
vhigh, low, 4, 2, med, low, 1
vhigh, low, 4, 2, med, med, 1
vhigh, low, 4, 2, med, high, 1
vhigh, low, 4, 2, big, low, 1
vhigh, low, 4, 2, big, med, 1
vhigh, low, 4, 2, big, high, 1
vhigh, low, 4, 4, small, low, 1
vhigh, low, 4, 4, small, med, 1
vhigh, low, 4, 4, small, high, 2
vhigh, low, 4, 4, med, low, 1
vhigh, low, 4, 4, med, med, 2
vhigh, low, 4, 4, med, high, 2
vhigh, low, 4, 4, big, low, 1
vhigh, low, 4, 4, big, med, 2
vhigh, low, 4, 4, big, high, 2
vhigh, low, 4, more, small, low, 1
vhigh, low, 4, more, small, med, 1
vhigh, low, 4, more, small, high, 2
vhigh, low, 4, more, med, low, 1
vhigh, low, 4, more, med, med, 2
vhigh, low, 4, more, med, high, 2
vhigh, low, 4, more, big, low, 1
vhigh, low, 4, more, big, med, 2
vhigh, low, 4, more, big, high, 2
vhigh, low, 5, 2, small, low, 1
vhigh, low, 5, 2, small, med, 1
vhigh, low, 5, 2, small, high, 1
vhigh, low, 5, 2, med, low, 1
vhigh, low, 5, 2, med, med, 1
vhigh, low, 5, 2, med, high, 1
vhigh, low, 5, 2, big, low, 1
vhigh, low, 5, 2, big, med, 1
vhigh, low, 5, 2, big, high, 1
vhigh, low, 5, 4, small, low, 1
vhigh, low, 5, 4, small, med, 1
vhigh, low, 5, 4, small, high, 2
vhigh, low, 5, 4, med, low, 1
vhigh, low, 5, 4, med, med, 2
vhigh, low, 5, 4, med, high, 2
vhigh, low, 5, 4, big, low, 1
vhigh, low, 5, 4, big, med, 2
vhigh, low, 5, 4, big, high, 2
vhigh, low, 5, more, small, low, 1
vhigh, low, 5, more, small, med, 1
vhigh, low, 5, more, small, high, 2
vhigh, low, 5, more, med, low, 1
vhigh, low, 5, more, med, med, 2
vhigh, low, 5, more, med, high, 2
vhigh, low, 5, more, big, low, 1
vhigh, low, 5, more, big, med, 2
vhigh, low, 5, more, big, high, 2
high, vhigh, 2, 2, small, low, 1
high, vhigh, 2, 2, small, med, 1
high, vhigh, 2, 2, small, high, 1
high, vhigh, 2, 2, med, low, 1
high, vhigh, 2, 2, med, med, 1
high, vhigh, 2, 2, med, high, 1
high, vhigh, 2, 2, big, low, 1
high, vhigh, 2, 2, big, med, 1
high, vhigh, 2, 2, big, high, 1
high, vhigh, 2, 4, small, low, 1
high, vhigh, 2, 4, small, med, 1
high, vhigh, 2, 4, small, high, 1
high, vhigh, 2, 4, med, low, 1
high, vhigh, 2, 4, med, med, 1
high, vhigh, 2, 4, med, high, 1
high, vhigh, 2, 4, big, low, 1
high, vhigh, 2, 4, big, med, 1
high, vhigh, 2, 4, big, high, 1
high, vhigh, 2, more, small, low, 1
high, vhigh, 2, more, small, med, 1
high, vhigh, 2, more, small, high, 1
high, vhigh, 2, more, med, low, 1
high, vhigh, 2, more, med, med, 1
high, vhigh, 2, more, med, high, 1
high, vhigh, 2, more, big, low, 1
high, vhigh, 2, more, big, med, 1
high, vhigh, 2, more, big, high, 1
high, vhigh, 3, 2, small, low, 1
high, vhigh, 3, 2, small, med, 1
high, vhigh, 3, 2, small, high, 1
high, vhigh, 3, 2, med, low, 1
high, vhigh, 3, 2, med, med, 1
high, vhigh, 3, 2, med, high, 1
high, vhigh, 3, 2, big, low, 1
high, vhigh, 3, 2, big, med, 1
high, vhigh, 3, 2, big, high, 1
high, vhigh, 3, 4, small, low, 1
high, vhigh, 3, 4, small, med, 1
high, vhigh, 3, 4, small, high, 1
high, vhigh, 3, 4, med, low, 1
high, vhigh, 3, 4, med, med, 1
high, vhigh, 3, 4, med, high, 1
high, vhigh, 3, 4, big, low, 1
high, vhigh, 3, 4, big, med, 1
high, vhigh, 3, 4, big, high, 1
high, vhigh, 3, more, small, low, 1
high, vhigh, 3, more, small, med, 1
high, vhigh, 3, more, small, high, 1
high, vhigh, 3, more, med, low, 1
high, vhigh, 3, more, med, med, 1
high, vhigh, 3, more, med, high, 1
high, vhigh, 3, more, big, low, 1
high, vhigh, 3, more, big, med, 1
high, vhigh, 3, more, big, high, 1
high, vhigh, 4, 2, small, low, 1
high, vhigh, 4, 2, small, med, 1
high, vhigh, 4, 2, small, high, 1
high, vhigh, 4, 2, med, low, 1
high, vhigh, 4, 2, med, med, 1
high, vhigh, 4, 2, med, high, 1
high, vhigh, 4, 2, big, low, 1
high, vhigh, 4, 2, big, med, 1
high, vhigh, 4, 2, big, high, 1
high, vhigh, 4, 4, small, low, 1
high, vhigh, 4, 4, small, med, 1
high, vhigh, 4, 4, small, high, 1
high, vhigh, 4, 4, med, low, 1
high, vhigh, 4, 4, med, med, 1
high, vhigh, 4, 4, med, high, 1
high, vhigh, 4, 4, big, low, 1
high, vhigh, 4, 4, big, med, 1
high, vhigh, 4, 4, big, high, 1
high, vhigh, 4, more, small, low, 1
high, vhigh, 4, more, small, med, 1
high, vhigh, 4, more, small, high, 1
high, vhigh, 4, more, med, low, 1
high, vhigh, 4, more, med, med, 1
high, vhigh, 4, more, med, high, 1
high, vhigh, 4, more, big, low, 1
high, vhigh, 4, more, big, med, 1
high, vhigh, 4, more, big, high, 1
high, vhigh, 5, 2, small, low, 1
high, vhigh, 5, 2, small, med, 1
high, vhigh, 5, 2, small, high, 1
high, vhigh, 5, 2, med, low, 1
high, vhigh, 5, 2, med, med, 1
high, vhigh, 5, 2, med, high, 1
high, vhigh, 5, 2, big, low, 1
high, vhigh, 5, 2, big, med, 1
high, vhigh, 5, 2, big, high, 1
high, vhigh, 5, 4, small, low, 1
high, vhigh, 5, 4, small, med, 1
high, vhigh, 5, 4, small, high, 1
high, vhigh, 5, 4, med, low, 1
high, vhigh, 5, 4, med, med, 1
high, vhigh, 5, 4, med, high, 1
high, vhigh, 5, 4, big, low, 1
high, vhigh, 5, 4, big, med, 1
high, vhigh, 5, 4, big, high, 1
high, vhigh, 5, more, small, low, 1
high, vhigh, 5, more, small, med, 1
high, vhigh, 5, more, small, high, 1
high, vhigh, 5, more, med, low, 1
high, vhigh, 5, more, med, med, 1
high, vhigh, 5, more, med, high, 1
high, vhigh, 5, more, big, low, 1
high, vhigh, 5, more, big, med, 1
high, vhigh, 5, more, big, high, 1
high, high, 2, 2, small, low, 1
high, high, 2, 2, small, med, 1
high, high, 2, 2, small, high, 1
high, high, 2, 2, med, low, 1
high, high, 2, 2, med, med, 1
high, high, 2, 2, med, high, 1
high, high, 2, 2, big, low, 1
high, high, 2, 2, big, med, 1
high, high, 2, 2, big, high, 1
high, high, 2, 4, small, low, 1
high, high, 2, 4, small, med, 1
high, high, 2, 4, small, high, 2
high, high, 2, 4, med, low, 1
high, high, 2, 4, med, med, 1
high, high, 2, 4, med, high, 2
high, high, 2, 4, big, low, 1
high, high, 2, 4, big, med, 2
high, high, 2, 4, big, high, 2
high, high, 2, more, small, low, 1
high, high, 2, more, small, med, 1
high, high, 2, more, small, high, 1
high, high, 2, more, med, low, 1
high, high, 2, more, med, med, 1
high, high, 2, more, med, high, 2
high, high, 2, more, big, low, 1
high, high, 2, more, big, med, 2
high, high, 2, more, big, high, 2
high, high, 3, 2, small, low, 1
high, high, 3, 2, small, med, 1
high, high, 3, 2, small, high, 1
high, high, 3, 2, med, low, 1
high, high, 3, 2, med, med, 1
high, high, 3, 2, med, high, 1
high, high, 3, 2, big, low, 1
high, high, 3, 2, big, med, 1
high, high, 3, 2, big, high, 1
high, high, 3, 4, small, low, 1
high, high, 3, 4, small, med, 1
high, high, 3, 4, small, high, 2
high, high, 3, 4, med, low, 1
high, high, 3, 4, med, med, 1
high, high, 3, 4, med, high, 2
high, high, 3, 4, big, low, 1
high, high, 3, 4, big, med, 2
high, high, 3, 4, big, high, 2
high, high, 3, more, small, low, 1
high, high, 3, more, small, med, 1
high, high, 3, more, small, high, 2
high, high, 3, more, med, low, 1
high, high, 3, more, med, med, 2
high, high, 3, more, med, high, 2
high, high, 3, more, big, low, 1
high, high, 3, more, big, med, 2
high, high, 3, more, big, high, 2
high, high, 4, 2, small, low, 1
high, high, 4, 2, small, med, 1
high, high, 4, 2, small, high, 1
high, high, 4, 2, med, low, 1
high, high, 4, 2, med, med, 1
high, high, 4, 2, med, high, 1
high, high, 4, 2, big, low, 1
high, high, 4, 2, big, med, 1
high, high, 4, 2, big, high, 1
high, high, 4, 4, small, low, 1
high, high, 4, 4, small, med, 1
high, high, 4, 4, small, high, 2
high, high, 4, 4, med, low, 1
high, high, 4, 4, med, med, 2
high, high, 4, 4, med, high, 2
high, high, 4, 4, big, low, 1
high, high, 4, 4, big, med, 2
high, high, 4, 4, big, high, 2
high, high, 4, more, small, low, 1
high, high, 4, more, small, med, 1
high, high, 4, more, small, high, 2
high, high, 4, more, med, low, 1
high, high, 4, more, med, med, 2
high, high, 4, more, med, high, 2
high, high, 4, more, big, low, 1
high, high, 4, more, big, med, 2
high, high, 4, more, big, high, 2
high, high, 5, 2, small, low, 1
high, high, 5, 2, small, med, 1
high, high, 5, 2, small, high, 1
high, high, 5, 2, med, low, 1
high, high, 5, 2, med, med, 1
high, high, 5, 2, med, high, 1
high, high, 5, 2, big, low, 1
high, high, 5, 2, big, med, 1
high, high, 5, 2, big, high, 1
high, high, 5, 4, small, low, 1
high, high, 5, 4, small, med, 1
high, high, 5, 4, small, high, 2
high, high, 5, 4, med, low, 1
high, high, 5, 4, med, med, 2
high, high, 5, 4, med, high, 2
high, high, 5, 4, big, low, 1
high, high, 5, 4, big, med, 2
high, high, 5, 4, big, high, 2
high, high, 5, more, small, low, 1
high, high, 5, more, small, med, 1
high, high, 5, more, small, high, 2
high, high, 5, more, med, low, 1
high, high, 5, more, med, med, 2
high, high, 5, more, med, high, 2
high, high, 5, more, big, low, 1
high, high, 5, more, big, med, 2
high, high, 5, more, big, high, 2
high, med, 2, 2, small, low, 1
high, med, 2, 2, small, med, 1
high, med, 2, 2, small, high, 1
high, med, 2, 2, med, low, 1
high, med, 2, 2, med, med, 1
high, med, 2, 2, med, high, 1
high, med, 2, 2, big, low, 1
high, med, 2, 2, big, med, 1
high, med, 2, 2, big, high, 1
high, med, 2, 4, small, low, 1
high, med, 2, 4, small, med, 1
high, med, 2, 4, small, high, 2
high, med, 2, 4, med, low, 1
high, med, 2, 4, med, med, 1
high, med, 2, 4, med, high, 2
high, med, 2, 4, big, low, 1
high, med, 2, 4, big, med, 2
high, med, 2, 4, big, high, 2
high, med, 2, more, small, low, 1
high, med, 2, more, small, med, 1
high, med, 2, more, small, high, 1
high, med, 2, more, med, low, 1
high, med, 2, more, med, med, 1
high, med, 2, more, med, high, 2
high, med, 2, more, big, low, 1
high, med, 2, more, big, med, 2
high, med, 2, more, big, high, 2
high, med, 3, 2, small, low, 1
high, med, 3, 2, small, med, 1
high, med, 3, 2, small, high, 1
high, med, 3, 2, med, low, 1
high, med, 3, 2, med, med, 1
high, med, 3, 2, med, high, 1
high, med, 3, 2, big, low, 1
high, med, 3, 2, big, med, 1
high, med, 3, 2, big, high, 1
high, med, 3, 4, small, low, 1
high, med, 3, 4, small, med, 1
high, med, 3, 4, small, high, 2
high, med, 3, 4, med, low, 1
high, med, 3, 4, med, med, 1
high, med, 3, 4, med, high, 2
high, med, 3, 4, big, low, 1
high, med, 3, 4, big, med, 2
high, med, 3, 4, big, high, 2
high, med, 3, more, small, low, 1
high, med, 3, more, small, med, 1
high, med, 3, more, small, high, 2
high, med, 3, more, med, low, 1
high, med, 3, more, med, med, 2
high, med, 3, more, med, high, 2
high, med, 3, more, big, low, 1
high, med, 3, more, big, med, 2
high, med, 3, more, big, high, 2
high, med, 4, 2, small, low, 1
high, med, 4, 2, small, med, 1
high, med, 4, 2, small, high, 1
high, med, 4, 2, med, low, 1
high, med, 4, 2, med, med, 1
high, med, 4, 2, med, high, 1
high, med, 4, 2, big, low, 1
high, med, 4, 2, big, med, 1
high, med, 4, 2, big, high, 1
high, med, 4, 4, small, low, 1
high, med, 4, 4, small, med, 1
